Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
1467,5650,1.54246144516,19.0773774709,5.45988905512,0.506021609949,98.8175129569
1468,5650,1.54322989682,19.0960254164,5.45933906083,0.506362718758,98.8173905145
1469,5650,1.54399862989,19.1146826518,5.45878884199,0.506703930944,98.8172680567
1470,5650,1.54476764436,19.1333491803,5.45823839857,0.507045246482,98.8171455833
1471,5650,1.54553694024,19.1520250053,5.45768773052,0.507386665346,98.8170230943
1472,5650,1.54630651754,19.1707101303,5.45713683783,0.507728187511,98.8169005898
1473,5650,1.54707637625,19.1894045587,5.45658572044,0.50806981295,98.8167780696
1474,5650,1.54784651639,19.2081082938,5.45603437834,0.508411541638,98.8166555338
1475,5650,1.54861693796,19.2268213391,5.45548281147,0.508753373549,98.8165329823
1476,5650,1.54938764097,19.245543698,5.45493101981,0.509095308657,98.816410415
1477,5650,1.55015862541,19.2642753738,5.45437900333,0.509437346936,98.816287832
1478,5650,1.5509298913,19.28301637,5.45382676199,0.50977948836,98.8161652332
1479,5650,1.55170143863,19.3017666899,5.45327429576,0.510121732902,98.8160426186
1480,5650,1.55247326742,19.3205263371,5.45272160459,0.510464080537,98.8159199881
1481,5650,1.55324537766,19.3392953148,5.45216868846,0.510806531238,98.8157973417
1482,5650,1.55401776936,19.3580736265,5.45161554734,0.511149084978,98.8156746794
1483,5650,1.55479044253,19.3768612755,5.45106218119,0.511491741732,98.8155520011
1484,5650,1.55556339717,19.3956582654,5.45050858997,0.511834501473,98.8154293068
1485,5650,1.55633663328,19.4144645994,5.44995477366,0.512177364174,98.8153065965
1486,5650,1.55711015086,19.433280281,5.44940073221,0.512520329808,98.8151838701
1487,5650,1.55788394993,19.4521053136,5.4488464656,0.512863398349,98.8150611277
1488,5650,1.55865803048,19.4709397006,5.44829197378,0.513206569771,98.8149383691
1489,5650,1.55943239252,19.4897834453,5.44773725674,0.513549844045,98.8148155944
1490,5650,1.56020703604,19.5086365513,5.44718231443,0.513893221146,98.8146928034
1491,5650,1.56098196106,19.5274990219,5.44662714681,0.514236701047,98.8145699962
1492,5650,1.56175716758,19.5463708604,5.44607175387,0.51458028372,98.8144471728
1493,5650,1.5625326556,19.5652520704,5.44551613555,0.514923969138,98.8143243331
1494,5650,1.56330842512,19.5841426551,5.44496029184,0.515267757275,98.814201477
1495,5650,1.56408447614,19.6030426181,5.44440422269,0.515611648102,98.8140786046
1496,5650,1.56486080867,19.6219519627,5.44384792808,0.515955641593,98.8139557157
1497,5650,1.56563742271,19.6408706922,5.44329140796,0.516299737721,98.8138328105
1498,5650,1.56641431827,19.6597988102,5.44273466231,0.516643936457,98.8137098887
1499,5650,1.56719149534,19.67873632,5.44217769109,0.516988237775,98.8135869505
1500,5650,1.56796895393,19.6976832251,5.44162049428,0.517332641647,98.8134639958
1501,5650,1.56874669404,19.7166395287,5.44106307182,0.517677148044,98.8133410245
1502,5650,1.56952471567,19.7356052344,5.44050542371,0.518021756941,98.8132180365
1503,5650,1.57030301883,19.7545803454,5.43994754989,0.518366468308,98.813095032
1504,5650,1.57108160351,19.7735648654,5.43938945034,0.518711282119,98.8129720108
1505,5650,1.57186046972,19.7925587975,5.43883112503,0.519056198344,98.8128489729
1506,5650,1.57263961746,19.8115621453,5.43827257392,0.519401216957,98.8127259183
1507,5650,1.57341904673,19.8305749121,5.43771379698,0.519746337929,98.8126028469
1508,5650,1.57419875753,19.8495971014,5.43715479417,0.520091561232,98.8124797587
1509,5650,1.57497874987,19.8686287164,5.43659556547,0.520436886838,98.8123566536
1510,5650,1.57575902374,19.8876697608,5.43603611084,0.520782314718,98.8122335317
1511,5650,1.57653957915,19.9067202378,5.43547643025,0.521127844846,98.8121103929
1512,5650,1.57732041609,19.9257801508,5.43491652366,0.521473477191,98.8119872372
1513,5650,1.57810153458,19.9448495033,5.43435639105,0.521819211726,98.8118640645
1514,5650,1.5788829346,19.9639282986,5.43379603238,0.522165048422,98.8117408748
1515,5650,1.57966461616,19.9830165403,5.43323544762,0.522510987251,98.8116176681
1516,5650,1.58044657927,20.0021142315,5.43267463674,0.522857028185,98.8114944443
1517,5650,1.58122882391,20.0212213759,5.4321135997,0.523203171193,98.8113712034
1518,5650,1.5820113501,20.0403379766,5.43155233647,0.523549416248,98.8112479454
1519,5650,1.58279415782,20.0594640373,5.43099084702,0.523895763321,98.8111246702
1520,5650,1.58357724709,20.0785995613,5.43042913132,0.524242212384,98.8110013779
1521,5650,1.5843606179,20.0977445519,5.42986718934,0.524588763406,98.8108780683
1522,5650,1.58514427026,20.1168990126,5.42930502104,0.524935416359,98.8107547414
1523,5650,1.58592820415,20.1360629468,5.42874262639,0.525282171214,98.8106313972
1524,5650,1.58671241959,20.1552363578,5.42818000536,0.525629027943,98.8105080357
1525,5650,1.58749691657,20.1744192492,5.42761715792,0.525975986514,98.8103846569
1526,5650,1.58828169509,20.1936116242,5.42705408404,0.526323046901,98.8102612606
1527,5650,1.58906675515,20.2128134863,5.42649078368,0.526670209072,98.8101378469
1528,5650,1.58985209675,20.232024839,5.42592725681,0.527017472999,98.8100144157
1529,5650,1.59063771989,20.2512456855,5.42536350341,0.527364838652,98.8098909671
1530,5650,1.59142362457,20.2704760293,5.42479952343,0.527712306001,98.8097675009
1531,5650,1.59220981079,20.2897158739,5.42423531685,0.528059875018,98.8096440172
1532,5650,1.59299627854,20.3089652225,5.42367088364,0.528407545672,98.8095205158
1533,5650,1.59378302783,20.3282240787,5.42310622377,0.528755317934,98.8093969968
1534,5650,1.59457005865,20.3474924458,5.42254133719,0.529103191773,98.8092734602
1535,5650,1.595357371,20.3667703272,5.4219762239,0.52945116716,98.8091499059
1536,5650,1.59614496489,20.3860577263,5.42141088384,0.529799244066,98.8090263338
1537,5650,1.5969328403,20.4053546465,5.42084531699,0.530147422459,98.808902744
1538,5650,1.59772099724,20.4246610912,5.42027952332,0.53049570231,98.8087791364
1539,5650,1.59850943571,20.4439770639,5.4197135028,0.530844083589,98.8086555109
1540,5650,1.5992981557,20.4633025679,5.41914725539,0.531192566266,98.8085318676
1541,5650,1.60008715722,20.4826376067,5.41858078107,0.531541150309,98.8084082064
1542,5650,1.60087644025,20.5019821836,5.41801407981,0.53188983569,98.8082845273
1543,5650,1.6016660048,20.521336302,5.41744715156,0.532238622377,98.8081608302
1544,5650,1.60245585087,20.5406999653,5.41687999631,0.532587510341,98.8080371151
1545,5650,1.60324597845,20.560073177,5.41631261403,0.532936499549,98.807913382
1546,5650,1.60403638755,20.5794559405,5.41574500467,0.533285589973,98.8077896308
1547,5650,1.60482707815,20.5988482591,5.41517716821,0.533634781581,98.8076658615
1548,5650,1.60561805025,20.6182501362,5.41460910463,0.533984074342,98.8075420741
1549,5650,1.60640930386,20.6376615753,5.41404081388,0.534333468226,98.8074182686
